model,dataset,source,series,runtime_sec,n_train,n_test,sliding_window,AUC-PR,AUC-ROC,VUS-PR,VUS-ROC,Standard-F1,PA-F1,Event-based-F1,R-based-F1,Affiliation-F
KMeansAD,GECCO,mtsbench,GECCO/GECCO_water_quality,13.23,27560,83113,39,0.22131937963250278,0.7591822404909285,0.0631337243838156,0.638425818692196,0.22985216976633285,0.3196016296966953,0.12716559669334238,0.0008692430754675784,0.2101302309784234
KMeansAD,PSM,mtsbench,PSM/PSM,61.13,132481,70273,125,0.41745224283109195,0.4441504052861159,0.3250998873638216,0.3098930878557241,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S01R01E1,5.19,13796,58880,69,0.2754519374377554,0.6352290326405636,0.265180992225841,0.6612099399283596,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S02R01E0,1.93,5120,20480,58,0.7713586514748532,0.8721480132515698,0.6804735467011257,0.8586615523525201,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S02R02E0,4.6,12182,51968,62,0.12470748100453259,0.3971251301212168,0.11536029809580299,0.36623287455124404,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E0,3.31,9281,44032,38,0.1721826767457842,0.31993915768485537,0.1318899686002996,0.2678437482965989,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S03R01E1,2.57,4533,28672,54,0.5047705387271274,0.8712168775133085,0.512111932067406,0.8291721734049348,0.0,0.0,0.0,0.0,0.12019356807005613
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S03R02E0,2.52,3328,13312,150,0.5834128697329887,0.8802411095170197,0.6519701241693836,0.9209199906343746,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E0,1.19,3788,15872,64,0.05522178295497196,0.47033940527224083,0.061870433996985434,0.493842796253547,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E1,1.91,2099,11674,73,0.25875649235736903,0.45650922651978,0.2301355107383339,0.43890150280450024,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E2,1.63,1940,11264,63,0.20874353447536542,0.4712511631416141,0.2239470835322161,0.44169171649934597,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R01E3,1.79,1088,7680,67,0.5450221368595198,0.5828627972778125,0.5899720889200477,0.626662993775633,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E0,4.42,6726,28672,64,0.19443858280127072,0.3895874165298658,0.2081126165362577,0.39157184969141723,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S05R02E1,3.54,6016,24064,66,0.21068025266672716,0.5364622880644287,0.22888706664070543,0.5479237451152635,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E0,4.09,10240,40960,65,0.14989864071208597,0.36091241454068673,0.15409225360435333,0.33730363149581366,0.0,0.0,0.0,0.0,0.15857058000805357
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E1,1.98,6144,24576,64,0.046557777191384236,0.7785825015490067,0.040275872650879695,0.6538598793015459,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S06R01E2,1.59,5120,20480,65,0.0036244046628667523,0.3953049345960627,0.0047148764599997395,0.39519342211441444,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S07R01E0,9.74,14223,59392,81,0.13390173302071162,0.6335904931463734,0.14004840678771172,0.6248732201342786,0.0,0.0,0.0,0.0,0.0675524744299011
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S07R02E0,3.55,5760,23040,78,0.043874940544504165,0.31906907664981987,0.04772921858287882,0.2694525836836579,0.0,0.0,0.0,0.0,0.1447497746632715
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E0,1.26,2944,11776,63,0.15800160155007445,0.3366294861949251,0.15362610033368174,0.3341129014909086,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E1,1.59,1340,8192,67,0.34473744030079123,0.25796351320555305,0.35718218238230753,0.26065492381415933,0.010067958721369242,0.3501669449081803,0.2105263157894732,0.022776714465134466,0.28546495602720856
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E2,1.47,2688,10752,65,0.22221490365759317,0.6790236463392145,0.20153322705900237,0.6726335806894297,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S08R01E3,1.58,1499,8704,65,0.6031348571625524,0.5124067045972933,0.6294592339314512,0.5363032208300507,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E0,1.46,1920,7680,72,0.14799544123156472,0.8319243567024687,0.26177792763055857,0.899429383292951,0.10683760683760683,0.4036036036036036,0.20408163265306076,0.03583753031150905,0.6347118803404292
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E1,1.91,1363,8704,67,0.45362338126757634,0.42064497092212283,0.45879275486361654,0.3894620166261482,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E2,2.65,3592,28160,64,0.07507092878986388,0.06935002030039222,0.08011110598051904,0.0674244712887695,0.0,0.0,0.0,0.0,0.020260578516655237
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E3,4.36,8915,36864,70,0.1866544715071044,0.517600516650824,0.14085105844029713,0.4403302737289539,0.0,0.0,0.0,0.0,
KMeansAD,Daphnet,mtsbench,Daphnet/Daphnet_S09R01E4,0.7,1920,7680,67,0.09572246031240109,0.6085251024961539,0.10258320692292801,0.6204019296578225,0.0,0.0,0.0,0.0,
KMeansAD,Genesis,mtsbench,Genesis/Genesis,1.72,3244,9332,125,0.5243494337240553,0.9975586537280432,0.8230736481304982,0.9993578796573888,0.4028776978417266,0.4028776978417266,0.4028776978417262,0.00299625468164794,0.9390655584339762
KMeansAD,SWaT,tsbad,SWaT/171_SWaT_id_1_Sensor_tr_3749_1st_9522.csv,6.45,3749,11247,125,0.5472738043641105,0.8857745499133172,0.592115682657534,0.8705560824707568,0.07547169811320754,0.10940325497287523,0.24153166421207617,0.139997874095858,0.2690834865455472
KMeansAD,CreditCard,mtsbench,CreditCard/creditcard,337.7,56804,170885,190,0.0015170943692721281,0.49344654038533675,0.09863554465512836,0.6355951901592003,0.0,0.0,0.0,0.0,0.032395130021853624
KMeansAD,GHL,mtsbench,GHL/GHL_17_Lev_fault_Temp_corr_seed_57_vars_23,17.85,120000,80001,125,0.231457052503606,0.9973669847104097,0.3281028922670594,0.9977632198220828,0.3377777777777778,0.558766859344894,0.39895013123359546,0.003839679789401186,0.9927868832052716
KMeansAD,GHL,mtsbench,GHL/GHL_18_Lev_fault_Temp_corr_seed_59_vars_23,16.39,120000,80001,125,0.0133425181101734,0.9390093547696198,0.018430964670361538,0.945447767908467,0.0,0.0,0.0,0.0,0.2257998420266224
KMeansAD,GHL,mtsbench,GHL/GHL_19_Lev_fault_Temp_corr_seed_62_vars_23,15.89,120000,80001,125,0.0337802600419939,0.9756865744740947,0.05634806137752312,0.9801732202903789,0.0425531914893617,0.32727272727272727,0.05128205128205122,0.004354435208586053,0.8044195071493166
KMeansAD,GHL,mtsbench,GHL/GHL_20_Lev_fault_Temp_corr_seed_67_vars_23,15.88,120000,80001,125,0.012589590911639251,0.9336085822852793,0.019552657303939763,0.9447821756431504,0.0,0.0,0.0,0.0,0.7766004362543942
KMeansAD,GHL,mtsbench,GHL/GHL_21_Lev_fault_Temp_corr_seed_73_vars_23,18.6,120000,80001,125,0.03868646002990554,0.977426263826612,0.07245678217774482,0.982277373676804,0.07538280329799764,0.30145530145530147,0.08695652173913035,0.004182707997266897,0.8550241765261574
KMeansAD,GHL,mtsbench,GHL/GHL_22_Lev_fault_Temp_corr_seed_777_vars_23,16.24,120000,80001,125,0.02045158672511816,0.9606907087930688,0.030971543474761335,0.9674531976051663,0.0,0.0,0.0,0.0,0.6004436279559094
KMeansAD,GHL,mtsbench,GHL/GHL_24_Lev_fault_Temp_corr_seed_83_vars_23,15.33,120000,80001,125,0.009767742911268876,0.9112622145418269,0.024292917513460747,0.9303215219622823,0.0,0.0,0.0,0.0,0.7296368319958618
